Registro;Versão;Data;Hora;Evento;Info;Descrição;
007592;08.08;22/01/25;19:17:49;PWN Internal Log                ;_A0_03_03_03_03;????;
007593;08.08;22/01/25;19:18:12;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007594;08.08;22/01/25;19:18:16;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007595;08.08;22/01/25;19:18:16;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007596;08.08;22/01/25;19:35:39;PWN Internal Log                ;_A0_03_03_03_03;????;
007597;08.08;22/01/25;19:36:02;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007598;08.08;22/01/25;19:36:05;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007599;08.08;22/01/25;19:36:05;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007600;08.08;22/01/25;19:53:28;PWN Internal Log                ;_A0_03_03_03_03;????;
007601;08.08;22/01/25;19:53:51;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007602;08.08;22/01/25;19:53:55;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007603;08.08;22/01/25;19:53:55;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007604;08.08;22/01/25;20:11:18;PWN Internal Log                ;_A0_03_03_03_03;????;
007605;08.08;22/01/25;20:11:41;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007606;08.08;22/01/25;20:11:45;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007607;08.08;22/01/25;20:11:45;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007608;08.08;22/01/25;20:29:07;PWN Internal Log                ;_A0_03_03_03_03;????;
007609;08.08;22/01/25;20:29:31;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007610;08.08;22/01/25;20:29:34;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007611;08.08;22/01/25;20:29:34;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007612;08.08;22/01/25;20:46:57;PWN Internal Log                ;_A0_03_03_03_03;????;
007613;08.08;22/01/25;20:47:20;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007614;08.08;22/01/25;20:47:24;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007615;08.08;22/01/25;20:47:24;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007616;08.08;22/01/25;21:04:47;PWN Internal Log                ;_A0_03_03_03_03;????;
007617;08.08;22/01/25;21:05:10;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007618;08.08;22/01/25;21:05:14;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007619;08.08;22/01/25;21:05:14;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007620;08.08;22/01/25;21:22:36;PWN Internal Log                ;_A0_03_03_03_03;????;
007621;08.08;22/01/25;21:22:59;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007622;08.08;22/01/25;21:23:03;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007623;08.08;22/01/25;21:23:03;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007624;08.08;22/01/25;21:40:26;PWN Internal Log                ;_A0_03_03_03_03;????;
007625;08.08;22/01/25;21:40:50;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007626;08.08;22/01/25;21:40:53;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007627;08.08;22/01/25;21:40:53;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007628;08.08;22/01/25;21:58:16;PWN Internal Log                ;_A0_03_03_03_03;????;
007629;08.08;22/01/25;21:58:39;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007630;08.08;22/01/25;21:58:43;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007631;08.08;22/01/25;21:58:43;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007632;08.08;22/01/25;22:16:06;PWN Internal Log                ;_A0_03_03_03_03;????;
007633;08.08;22/01/25;22:16:29;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007634;08.08;22/01/25;22:16:33;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007635;08.08;22/01/25;22:16:33;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007636;08.08;22/01/25;22:33:55;PWN Internal Log                ;_A0_03_03_03_03;????;
007637;08.08;22/01/25;22:34:19;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007638;08.08;22/01/25;22:34:22;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007639;08.08;22/01/25;22:34:22;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007640;08.08;22/01/25;22:51:45;PWN Internal Log                ;_A0_03_03_03_03;????;
007641;08.08;22/01/25;22:52:08;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007642;08.08;22/01/25;22:52:12;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007643;08.08;22/01/25;22:52:12;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007644;08.08;22/01/25;23:09:34;PWN Internal Log                ;_A0_03_03_03_03;????;
007645;08.08;22/01/25;23:09:57;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007646;08.08;22/01/25;23:10:01;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007647;08.08;22/01/25;23:10:01;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007648;08.08;22/01/25;23:27:24;PWN Internal Log                ;_A0_03_03_03_03;????;
007649;08.08;22/01/25;23:27:47;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007650;08.08;22/01/25;23:27:51;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007651;08.08;22/01/25;23:27:51;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
